split,cohort,model,c_index
1,TCGA_test,M2EFM_Molecular,0.656633221850613
1,TCGA_test,M2EFM_ExpClin,0.772798216276477
1,TCGA_test,Clinical,0.794871794871795
1,Kao,M2EFM_Molecular,0.690425380566226
1,Kao,M2EFM_ExpClin,0.70920472328923
1,Kao,Clinical,0.622871911604306
1,Terunuma,M2EFM_Molecular,0.605794556628622
1,Terunuma,M2EFM_ExpClin,0.690079016681299
1,Terunuma,Clinical,0.665496049165935
2,TCGA_test,M2EFM_Molecular,0.661415525114155
2,TCGA_test,M2EFM_ExpClin,0.739269406392694
2,TCGA_test,Clinical,0.781735159817352
2,Kao,M2EFM_Molecular,0.669606866789965
2,Kao,M2EFM_ExpClin,0.70095319391094
2,Kao,Clinical,0.62353582776118
2,Terunuma,M2EFM_Molecular,0.582967515364355
2,Terunuma,M2EFM_ExpClin,0.64793678665496
2,Terunuma,Clinical,0.655838454784899
3,TCGA_test,M2EFM_Molecular,0.637615714608264
3,TCGA_test,M2EFM_ExpClin,0.706254233461278
3,TCGA_test,Clinical,0.71562429442312
3,Kao,M2EFM_Molecular,0.698107838952909
3,Kao,M2EFM_ExpClin,0.710579978185612
3,Kao,Clinical,0.616991511357709
3,Terunuma,M2EFM_Molecular,0.653204565408253
3,Terunuma,M2EFM_ExpClin,0.683933274802458
3,Terunuma,Clinical,0.652326602282704
4,TCGA_test,M2EFM_Molecular,0.67479674796748
4,TCGA_test,M2EFM_ExpClin,0.792566782810685
4,TCGA_test,Clinical,0.798141695702671
4,Kao,M2EFM_Molecular,0.70427277469531
4,Kao,M2EFM_ExpClin,0.717266562336985
4,Kao,Clinical,0.601531749419073
4,Terunuma,M2EFM_Molecular,0.675153643546971
4,Terunuma,M2EFM_ExpClin,0.705882352941176
4,Terunuma,Clinical,0.659350307287094
5,TCGA_test,M2EFM_Molecular,0.755681818181818
5,TCGA_test,M2EFM_ExpClin,0.810227272727273
5,TCGA_test,Clinical,0.760653409090909
5,Kao,M2EFM_Molecular,0.697633613126571
5,Kao,M2EFM_ExpClin,0.704320197277944
5,Kao,Clinical,0.626760563380282
5,Terunuma,M2EFM_Molecular,0.637401229148376
5,Terunuma,M2EFM_ExpClin,0.688323090430202
5,Terunuma,Clinical,0.66198419666374
6,TCGA_test,M2EFM_Molecular,0.640637665495812
6,TCGA_test,M2EFM_ExpClin,0.716563091056471
6,TCGA_test,Clinical,0.71251013239665
6,Kao,M2EFM_Molecular,0.69085218380993
6,Kao,M2EFM_ExpClin,0.710010907194006
6,Kao,Clinical,0.631929624887371
6,Terunuma,M2EFM_Molecular,0.62071992976295
6,Terunuma,M2EFM_ExpClin,0.680421422300263
6,Terunuma,Clinical,0.66198419666374
7,TCGA_test,M2EFM_Molecular,0.667122752150117
7,TCGA_test,M2EFM_ExpClin,0.73494917904613
7,TCGA_test,Clinical,0.744233776387803
7,Kao,M2EFM_Molecular,0.703229477877365
7,Kao,M2EFM_ExpClin,0.722815004505145
7,Kao,Clinical,0.632451273296344
7,Terunuma,M2EFM_Molecular,0.635645302897278
7,Terunuma,M2EFM_ExpClin,0.691834942932397
7,Terunuma,Clinical,0.65496049165935
8,TCGA_test,M2EFM_Molecular,0.697520661157025
8,TCGA_test,M2EFM_ExpClin,0.775619834710744
8,TCGA_test,Clinical,0.769318181818182
8,Kao,M2EFM_Molecular,0.678474889742495
8,Kao,M2EFM_ExpClin,0.707070707070707
8,Kao,Clinical,0.614762649973918
8,Terunuma,M2EFM_Molecular,0.665496049165935
8,Terunuma,M2EFM_ExpClin,0.699736611062335
8,Terunuma,Clinical,0.662862159789289
9,TCGA_test,M2EFM_Molecular,0.67797996319771
9,TCGA_test,M2EFM_ExpClin,0.7452463708853
9,TCGA_test,Clinical,0.812206092823553
9,Kao,M2EFM_Molecular,0.666429553753497
9,Kao,M2EFM_ExpClin,0.714041826717883
9,Kao,Clinical,0.631360553895765
9,Terunuma,M2EFM_Molecular,0.571553994732221
9,Terunuma,M2EFM_ExpClin,0.680421422300263
9,Terunuma,Clinical,0.659350307287094
10,TCGA_test,M2EFM_Molecular,0.615455381784729
10,TCGA_test,M2EFM_ExpClin,0.71343146274149
10,TCGA_test,Clinical,0.761039558417663
10,Kao,M2EFM_Molecular,0.703940816616873
10,Kao,M2EFM_ExpClin,0.716934604258548
10,Kao,Clinical,0.636861573481292
10,Terunuma,M2EFM_Molecular,0.612818261633011
10,Terunuma,M2EFM_ExpClin,0.69622475856014
10,Terunuma,Clinical,0.658472344161545
11,TCGA_test,M2EFM_Molecular,0.809059516554946
11,TCGA_test,M2EFM_ExpClin,0.828559821247207
11,TCGA_test,Clinical,0.737659963436929
11,Kao,M2EFM_Molecular,0.696305780812823
11,Kao,M2EFM_ExpClin,0.696922274387063
11,Kao,Clinical,0.605989472186655
11,Terunuma,M2EFM_Molecular,0.638279192273925
11,Terunuma,M2EFM_ExpClin,0.701492537313433
11,Terunuma,Clinical,0.66198419666374
12,TCGA_test,M2EFM_Molecular,0.634250290585045
12,TCGA_test,M2EFM_ExpClin,0.743510267338241
12,TCGA_test,Clinical,0.757845796203022
12,Kao,M2EFM_Molecular,0.690377957983592
12,Kao,M2EFM_ExpClin,0.722767581922511
12,Kao,Clinical,0.638094560629772
12,Terunuma,M2EFM_Molecular,0.617208077260755
12,Terunuma,M2EFM_ExpClin,0.678665496049166
12,Terunuma,Clinical,0.659350307287094
13,TCGA_test,M2EFM_Molecular,0.713343108504399
13,TCGA_test,M2EFM_ExpClin,0.805718475073314
13,TCGA_test,Clinical,0.737536656891496
13,Kao,M2EFM_Molecular,0.699672784179827
13,Kao,M2EFM_ExpClin,0.695831554986485
13,Kao,Clinical,0.565585431782615
13,Terunuma,M2EFM_Molecular,0.640035118525022
13,Terunuma,M2EFM_ExpClin,0.687445127304653
13,Terunuma,Clinical,0.653204565408253
14,TCGA_test,M2EFM_Molecular,0.700181708055724
14,TCGA_test,M2EFM_ExpClin,0.733091055925702
14,TCGA_test,Clinical,0.72814455885322
14,Kao,M2EFM_Molecular,0.701237729406744
14,Kao,M2EFM_ExpClin,0.701949068146251
