cohort,bin,n,mean_predicted_event,observed_event,horizon_years
TCGA,1,207,0.0602879237228307,0.0400981996726678,5
TCGA,2,208,0.0953228832098529,0.10767295447499,5
TCGA,3,208,0.133022011342528,0.103140607908704,5
TCGA,4,208,0.194623354002532,0.250161029370744,5
TCGA,5,208,0.430098365670952,0.440615893510779,5
Kao,1,65,0.0488703793835274,0.0615384615384614,5
Kao,2,65,0.0745011568920375,0.0153846153846153,5
Kao,3,66,0.102972061350307,0.152777777777778,5
Kao,4,65,0.158005228664889,0.215384615384616,5
Kao,5,66,0.369928782528912,0.336850649350649,5
Terunuma,1,12,0.0377612524905064,0.0833333333333334,5
Terunuma,2,12,0.0498166204737252,0.34375,5
Terunuma,3,12,0.06662496025324,0.333333333333333,5
Terunuma,4,12,0.0884568186610226,0.428571428571429,5
Terunuma,5,13,0.167829436797405,0.692307692307692,5
