split,model,c_index
1,M2EFM Meth+Exp,0.689794091316025
1,M2EFM Meth+Exp+Clin,0.837063563115488
1,Clin,0.763428827215757
2,M2EFM Meth+Exp,0.686874632136551
2,M2EFM Meth+Exp+Clin,0.764567392583873
2,Clin,0.745144202472042
3,M2EFM Meth+Exp,0.731026108075288
3,M2EFM Meth+Exp+Clin,0.825136612021858
3,Clin,0.772920461445052
4,M2EFM Meth+Exp,0.568117580553985
4,M2EFM Meth+Exp+Clin,0.673261729790842
4,Clin,0.699547767100057
5,M2EFM Meth+Exp,0.749891067538126
5,M2EFM Meth+Exp+Clin,0.806100217864924
5,Clin,0.762091503267974
6,M2EFM Meth+Exp,0.629213483146067
6,M2EFM Meth+Exp+Clin,0.826404494382022
6,Clin,0.801966292134831
7,M2EFM Meth+Exp,0.756567425569177
7,M2EFM Meth+Exp+Clin,0.803852889667251
7,Clin,0.814360770577934
8,M2EFM Meth+Exp,0.77808522412839
8,M2EFM Meth+Exp+Clin,0.798561151079137
8,Clin,0.708909795240731
9,M2EFM Meth+Exp,0.717208990271721
9,M2EFM Meth+Exp+Clin,0.823549144582355
9,Clin,0.765514927876552
10,M2EFM Meth+Exp,0.63768115942029
10,M2EFM Meth+Exp+Clin,0.757101449275362
10,Clin,0.821449275362319
11,M2EFM Meth+Exp,0.591586327782647
11,M2EFM Meth+Exp+Clin,0.727870289219982
11,Clin,0.74079754601227
12,M2EFM Meth+Exp,0.735432016075017
12,M2EFM Meth+Exp+Clin,0.815807099799062
12,Clin,0.763228399196249
13,M2EFM Meth+Exp,0.760942760942761
13,M2EFM Meth+Exp+Clin,0.845791245791246
13,Clin,0.809427609427609
14,M2EFM Meth+Exp,0.600632911392405
14,M2EFM Meth+Exp+Clin,0.863924050632911
14,Clin,0.90126582278481
15,M2EFM Meth+Exp,0.698726394378568
15,M2EFM Meth+Exp+Clin,0.780851998243303
15,Clin,0.724857268335529
16,M2EFM Meth+Exp,0.717089516515079
16,M2EFM Meth+Exp+Clin,0.759214935375778
16,Clin,0.739348970799426
17,M2EFM Meth+Exp,0.757761053621825
17,M2EFM Meth+Exp+Clin,0.816086547507056
17,Clin,0.741298212605833
18,M2EFM Meth+Exp,0.667465261140393
18,M2EFM Meth+Exp+Clin,0.782942022041208
18,Clin,0.709151892668903
19,M2EFM Meth+Exp,0.639425235743152
19,M2EFM Meth+Exp+Clin,0.7413560844185
19,Clin,0.755051638976201
20,M2EFM Meth+Exp,0.648787154082679
20,M2EFM Meth+Exp+Clin,0.769730099077554
20,Clin,0.757259993167065
21,M2EFM Meth+Exp,0.714935064935065
21,M2EFM Meth+Exp+Clin,0.798701298701299
21,Clin,0.762987012987013
22,M2EFM Meth+Exp,0.673035171515415
22,M2EFM Meth+Exp+Clin,0.76118106817195
22,Clin,0.721450282240556
23,M2EFM Meth+Exp,0.57308009909166
23,M2EFM Meth+Exp+Clin,0.706440957886045
23,Clin,0.683113129644922
24,M2EFM Meth+Exp,0.549975857073877
24,M2EFM Meth+Exp+Clin,0.69917914051183
24,Clin,0.800096571704491
25,M2EFM Meth+Exp,0.548063781321185
25,M2EFM Meth+Exp+Clin,0.72619589977221
25,Clin,0.826651480637813
26,M2EFM Meth+Exp,0.692197906755471
26,M2EFM Meth+Exp+Clin,0.79686013320647
26,Clin,0.788296860133207
27,M2EFM Meth+Exp,0.563564875491481
27,M2EFM Meth+Exp+Clin,0.758409785932722
27,Clin,0.838575797291394
28,M2EFM Meth+Exp,0.718504672897196
28,M2EFM Meth+Exp+Clin,0.796261682242991
28,Clin,0.792897196261682
29,M2EFM Meth+Exp,0.634225092250923
29,M2EFM Meth+Exp+Clin,0.706642066420664
29,Clin,0.719326568265683
30,M2EFM Meth+Exp,0.565620174987133
30,M2EFM Meth+Exp+Clin,0.724137931034483
30,Clin,0.794647452393206
31,M2EFM Meth+Exp,0.749868351764086
31,M2EFM Meth+Exp+Clin,0.79884149552396
31,Clin,0.681937862032649
32,M2EFM Meth+Exp,0.584920326467159
32,M2EFM Meth+Exp+Clin,0.751263116984065
32,Clin,0.746793626117373
33,M2EFM Meth+Exp,0.686264308012487
33,M2EFM Meth+Exp+Clin,0.785119667013528
33,Clin,0.795265348595213
34,M2EFM Meth+Exp,0.610056258790436
34,M2EFM Meth+Exp+Clin,0.760548523206751
34,Clin,0.771976090014065
35,M2EFM Meth+Exp,0.626736111111111
35,M2EFM Meth+Exp+Clin,0.784722222222222
35,Clin,0.819444444444445
36,M2EFM Meth+Exp,0.725947521865889
36,M2EFM Meth+Exp+Clin,0.793835901707622
36,Clin,0.736359850062474
37,M2EFM Meth+Exp,0.684989429175476
37,M2EFM Meth+Exp+Clin,0.777408637873754
37,Clin,0.781032920567804
38,M2EFM Meth+Exp,0.630604689428219
38,M2EFM Meth+Exp+Clin,0.809954751131222
38,Clin,0.842657342657343
39,M2EFM Meth+Exp,0.649470290188853
39,M2EFM Meth+Exp+Clin,0.744357438968217
39,Clin,0.777291570704744
40,M2EFM Meth+Exp,0.578979343863913
40,M2EFM Meth+Exp+Clin,0.738153098420413
40,Clin,0.757290400972054
41,M2EFM Meth+Exp,0.818479149632052
41,M2EFM Meth+Exp+Clin,0.802534750613246
41,Clin,0.710956663941128
42,M2EFM Meth+Exp,0.625224148236701
42,M2EFM Meth+Exp+Clin,0.728033472803347
42,Clin,0.727136879856545
43,M2EFM Meth+Exp,0.539850560398506
43,M2EFM Meth+Exp+Clin,0.694894146948942
43,Clin,0.74159402241594
44,M2EFM Meth+Exp,0.732347328244275
44,M2EFM Meth+Exp+Clin,0.83206106870229
44,Clin,0.782681297709924
45,M2EFM Meth+Exp,0.67239336492891
45,M2EFM Meth+Exp+Clin,0.716824644549763
45,Clin,0.756220379146919
46,M2EFM Meth+Exp,0.834640522875817
46,M2EFM Meth+Exp+Clin,0.815686274509804
46,Clin,0.675816993464052
47,M2EFM Meth+Exp,0.826227390180879
47,M2EFM Meth+Exp+Clin,0.854651162790698
47,Clin,0.750968992248062
48,M2EFM Meth+Exp,0.670445344129555
48,M2EFM Meth+Exp+Clin,0.725506072874494
48,Clin,0.725506072874494
49,M2EFM Meth+Exp,0.755966877739893
49,M2EFM Meth+Exp+Clin,0.831466147101802
49,Clin,0.736726741354116
50,M2EFM Meth+Exp,0.769195189639223
50,M2EFM Meth+Exp+Clin,0.854301572617946
50,Clin,0.807123034227567
51,M2EFM Meth+Exp,0.618045815801777
51,M2EFM Meth+Exp+Clin,0.697989714820009
51,Clin,0.71645628798504
52,M2EFM Meth+Exp,0.697624955689472
52,M2EFM Meth+Exp+Clin,0.753633463310883
52,Clin,0.648174406238922
53,M2EFM Meth+Exp,0.793848711554447
53,M2EFM Meth+Exp+Clin,0.891936824605154
53,Clin,0.83187863674148
54,M2EFM Meth+Exp,0.625480769230769
54,M2EFM Meth+Exp+Clin,0.678846153846154
54,Clin,0.662019230769231
55,M2EFM Meth+Exp,0.660640301318268
55,M2EFM Meth+Exp+Clin,0.787947269303202
55,Clin,0.770621468926554
56,M2EFM Meth+Exp,0.634776536312849
56,M2EFM Meth+Exp+Clin,0.704608938547486
56,Clin,0.739874301675978
57,M2EFM Meth+Exp,0.712356792144026
57,M2EFM Meth+Exp+Clin,0.813011456628478
57,Clin,0.793371522094926
58,M2EFM Meth+Exp,0.635179153094463
58,M2EFM Meth+Exp+Clin,0.710749185667753
58,Clin,0.697068403908795
59,M2EFM Meth+Exp,0.780884808013356
59,M2EFM Meth+Exp+Clin,0.867278797996661
59,Clin,0.836602671118531
60,M2EFM Meth+Exp,0.723728007608179
60,M2EFM Meth+Exp+Clin,0.81359961959106
60,Clin,0.777460770328103
61,M2EFM Meth+Exp,0.809842041312272
61,M2EFM Meth+Exp+Clin,0.777642770352369
61,Clin,0.716281895504253
62,M2EFM Meth+Exp,0.749413145539906
62,M2EFM Meth+Exp+Clin,0.813380281690141
62,Clin,0.730633802816901
63,M2EFM Meth+Exp,0.588932806324111
63,M2EFM Meth+Exp+Clin,0.79100790513834
63,Clin,0.821393280632411
64,M2EFM Meth+Exp,0.647467036780014
64,M2EFM Meth+Exp+Clin,0.695350451075642
64,Clin,0.65822345593338
65,M2EFM Meth+Exp,0.684655091506335
65,M2EFM Meth+Exp+Clin,0.83575786015955
65,Clin,0.837165649929611
66,M2EFM Meth+Exp,0.694528875379939
66,M2EFM Meth+Exp+Clin,0.855243161094225
66,Clin,0.808890577507599
67,M2EFM Meth+Exp,0.587901701323252
67,M2EFM Meth+Exp+Clin,0.745746691871456
67,Clin,0.746691871455577
68,M2EFM Meth+Exp,0.673165137614679
68,M2EFM Meth+Exp+Clin,0.773318042813456
68,Clin,0.647935779816514
69,M2EFM Meth+Exp,0.707996768982229
69,M2EFM Meth+Exp+Clin,0.818255250403877
69,Clin,0.762116316639742
70,M2EFM Meth+Exp,0.667915106117353
70,M2EFM Meth+Exp+Clin,0.818352059925094
70,Clin,0.823970037453184
71,M2EFM Meth+Exp,0.653013458162668
71,M2EFM Meth+Exp+Clin,0.758338209479228
71,Clin,0.730544177881802
72,M2EFM Meth+Exp,0.824345969033636
