"probe_id","gene_symbol"
"7896740","OR4F4"
"7896742","PCMTD2"
"7896744","OR4F29"
"7896746","MTND1P23"
"7896754","SEPTIN7P13"
"7896756","FAM87B"
"7896759","LINC01128"
"7896761","SAMD11"
"7896779","KLHL17"
"7896798","PLEKHN1"
"7896817","ISG15"
"7896822","AGRN"
"7896859","MIR200B"
"7896861","MIR200A"
"7896863","MIR429"
"7896865","TTLL10"
"7896878","B3GALT6"
"7896882","SCNN1D"
"7896908","PUSL1"
"7896917","CPTP"
"7896921","TAS1R3"
"7896929","VWA1"
"7896937","ATAD3C"
"7896952","ATAD3A"
"7896961","ATAD3C"
"7896985","MIB2"
"7897006","MMP23B"
"7897026","CALML6"
"7897034","GABRD"
"7897044","PRKCZ"
"7897066","FAAP20"
"7897068","SKI"
"7897078","RER1"
"7897089","PLCH2"
"7897119","PRXL2B"
"7897128","ACTRT2"
"7897132","PRDM16"
"7897154","ARHGEF16"
"7897172","TPRG1L"
"7897179","TP73"
"7897196","CCDC27"
"7897210","DFFB"
"7897227","AJAP1"
"7897236","KCNAB2"
"7897257","RNF207"
"7897263","RNF207"
"7897277","ICMT-DT"
"7897280","HES3"
"7897288","ESPN"
"7897295","TAS1R1"
"7897305","ZBTB48"
"7897322","PHF13"
"7897329","THAP3"
"7897339","CAMTA1"
"7897370","VAMP3"
"7897378","PER3"
"7897404","PARK7"
"7897416","SLC45A1"
"7897426","CA6"
"7897441","H6PD"
"7897449","SPSB1"
"7897460","SLC25A33"
"7897469","TMEM201"
"7897482","PIK3CD"
"7897509","NMNAT1"
"7897522","RBP7"
"7897527","UBE4B"
"7897561","KIF1B"
"7897620","PGD"
"7897632","CENPS-CORT"
"7897648","PEX14"
"7897663","TARDBP"
"7897675","ANGPTL7"
"7897685","UBIAD1"
"7897691","DISP3"
"7897714","FBXO44"
"7897728","FBXO6"
"7897737","DRAXIN"
"7897745","AGTRAP"
"7897753","C1orf167"
"7897774","CLCN6"
"7897801","RNU5E-1"
"7897803","PLOD1"
"7897824","MFN2"
"7897849","MIIP"
"7897860","TNFRSF8"
"7897877","TNFRSF1B"
"7897890","VPS13D"
"7897953","SNORA59B"
"7897955","AADACL4"
"7897960","AADACL3"
"7897966","CFAP107"
"7897974","PRAMEF12"
"7897978","PRAMEF1"
"7897987","PRAMEF2"
"7897991","PRAMEF8"
"7897997","PRAMEF22"
"7898002","PRAMEF8"
"7898007","PRAMEF8"
"7898012","PRAMEF8"
"7898020","PRAMEF10"
"7898026","PRAMEF10"
"7898030","PRAMEF8"
"7898034","PRAMEF10"
"7898040","PRAMEF8"
"7898048","PRAMEF10"
"7898052","PRAMEF8"
"7898057","PDPN"
"7898070","PRDM2"
"7898084","KAZN"
"7898102","KAZN"
"7898115","TMEM51"
"7898124","FHAD1"
"7898161","EFHD2"
"7898167","CTRC"
"7898176","CELA2A"
"7898184","CELA2B"
"7898192","DNAJC16"
"7898211","RSC1A1"
"7898227","PLEKHM2"
"7898249","SLC25A34"
"7898256","TMEM82"
"7898263","FBLIM1"
"7898278","SPEN"
"7898296","SRARP"
"7898300","CLCNKA"
"7898314","CLCNKB"
"7898328","SZRD1"
"7898337","NECAP2"
"7898357","MST1P2"
"7898371","LINC01145"
"7898375","RNVU1-18"
"7898377","CROCC"
"7898407","LOC440570"
"7898411","RNVU1-18"
"7898413","PADI1"
"7898431","PADI3"
"7898448","PADI4"
"7898466","PADI6"
"7898483","ARHGEF10L"
"7898516","ACTL8"
"7898521","IGSF21"
"7898533","KLHDC7A"
"7898537","PAX7"
"7898549","MRTO4"
"7898556","SLC66A1"
"7898574","MICOS10"
"7898582","RPS14P3"
"7898585","NBL1"
"7898594","HTR6"
"7898602","OTUD3"
"7898609","PLA2G5"
"7898616","PLA2G2F"
"7898623","UBXN10"
"7898627","VWA5B1"
"7898653","FAM43B"
"7898655","CDA"
"7898663","PINK1"
"7898677","HS6ST1"
"7898679","NBPF3"
"7898693","ALPL"
"7898707","LDLRAD2"
"7898713","CELA3B"
"7898725","CELA3A"
"7898736","LINC00339"
"7898739","CDC42"
"7898750","ZBTB40"
