"dataset","feature"
"TCGA expression","ACAP1"
"TCGA expression","AGR2"
"TCGA expression","ASPN"
"TCGA expression","BCL11A"
"TCGA expression","CCL5"
"TCGA expression","CCR7"
"TCGA expression","CD27"
"TCGA expression","CD48"
"TCGA expression","CD52"
"TCGA expression","CD79B"
"TCGA expression","COL9A3"
"TCGA expression","CORO1A"
"TCGA expression","EN1"
"TCGA expression","GATA3"
"TCGA expression","GFRA1"
"TCGA expression","GZMB"
"TCGA expression","HLA-DQA1"
"TCGA expression","IRF4"
"TCGA expression","KIAA1324"
"TCGA expression","LRRC15"
"TCGA expression","MARCO"
"TCGA expression","NKG7"
"TCGA expression","PLA2G2D"
"TCGA expression","PRKCB"
"TCGA expression","PRLR"
"TCGA expression","ROPN1"
"TCGA expression","SLAMF7"
"TCGA expression","SLC44A4"
"TCGA expression","SPDEF"
"TCGA expression","THSD4"
"TCGA expression","TNFRSF17"
"TCGA expression","UBD"
"TCGA expression","VGLL1"
"TCGA expression","XBP1"
"TCGA expression","DLG5"
"TCGA expression","LILRB2"
"Terunuma expression","ACAP1"
"Terunuma expression","AGR2"
"Terunuma expression","ASPN"
"Terunuma expression","BCL11A"
"Terunuma expression","CCL5"
"Terunuma expression","CCR7"
"Terunuma expression","CD27"
"Terunuma expression","CD48"
"Terunuma expression","CD52"
"Terunuma expression","CD79B"
"Terunuma expression","COL9A3"
"Terunuma expression","CORO1A"
"Terunuma expression","EN1"
"Terunuma expression","GATA3"
"Terunuma expression","GFRA1"
"Terunuma expression","GZMB"
"Terunuma expression","HLA-DQA1"
"Terunuma expression","IRF4"
"Terunuma expression","KIAA1324"
"Terunuma expression","LRRC15"
"Terunuma expression","MARCO"
"Terunuma expression","NKG7"
"Terunuma expression","PLA2G2D"
"Terunuma expression","PRKCB"
"Terunuma expression","PRLR"
"Terunuma expression","ROPN1"
"Terunuma expression","SLAMF7"
"Terunuma expression","SLC44A4"
"Terunuma expression","SPDEF"
"Terunuma expression","THSD4"
"Terunuma expression","TNFRSF17"
"Terunuma expression","UBD"
"Terunuma expression","VGLL1"
"Terunuma expression","XBP1"
"Terunuma expression","DLG5"
"Terunuma expression","LILRB2"
"Kao expression","ACAP1"
"Kao expression","AGR2"
"Kao expression","ASPN"
"Kao expression","BCL11A"
"Kao expression","CCL5"
"Kao expression","CCR7"
"Kao expression","CD27"
"Kao expression","CD48"
"Kao expression","CD52"
"Kao expression","CD79B"
"Kao expression","COL9A3"
"Kao expression","CORO1A"
"Kao expression","EN1"
"Kao expression","GATA3"
"Kao expression","GFRA1"
"Kao expression","GZMB"
"Kao expression","HLA-DQA1"
"Kao expression","IRF4"
"Kao expression","KIAA1324"
"Kao expression","LRRC15"
"Kao expression","MARCO"
"Kao expression","NKG7"
"Kao expression","PLA2G2D"
"Kao expression","PRKCB"
"Kao expression","PRLR"
"Kao expression","ROPN1"
"Kao expression","SLAMF7"
"Kao expression","SLC44A4"
"Kao expression","SPDEF"
"Kao expression","THSD4"
"Kao expression","TNFRSF17"
"Kao expression","UBD"
"Kao expression","VGLL1"
"Kao expression","XBP1"
"Kao expression","DLG5"
"Kao expression","LILRB2"
