snps,gene,statistic,pvalue,FDR,beta
cg15114522,ESR1,13.173668507538,8.78631773512038e-36,1.43528820867688e-32,2.35708189945633
cg15114522,TFF1,8.43636360898407,1.69102463123405e-16,1.8000614468544e-14,2.00673753162394
cg15114522,FOXA1,12.4630520263551,1.60262425970486e-32,1.76472426641718e-29,2.00318426541856
cg18033671,TFF3,10.3180593169316,2.00871336726946e-23,6.53806546535065e-21,1.96422381117726
cg19296662,KRT14,-8.08224919398103,2.56120007517e-15,2.21135838206526e-13,-1.88130563918426
cg18033671,CA12,13.0361405516687,3.83450753534946e-35,5.80234960573909e-32,1.79571945742637
cg15114522,GABRP,-8.64689310311673,3.2157401111282e-17,3.87930804387184e-15,-1.79188625560697
cg18033671,SCUBE2,9.79720816509747,2.11629800571129e-21,5.06329412662458e-19,1.78300315136641
cg02887374,NAT1,7.49798301393745,1.84247053390106e-13,1.11579205794616e-11,1.77890388723807
cg15114522,KRT16,-10.379323567097,1.1479870998502e-23,3.86934895520732e-21,-1.76361235039654
cg18033671,PGR,9.28402550414986,1.74139233038797e-19,3.06812711838327e-17,1.75064699485124
cg27331738,CXCL13,-8.80866386946198,8.78637421598477e-18,1.16518894769172e-15,-1.69827725206174
cg27331738,ADAM6,-9.9593159137551,5.06300492367462e-22,1.33163943740293e-19,-1.66641112788502
cg27331738,CD79A,-12.4725596535053,1.45197198947068e-32,1.60705701376822e-29,-1.66438939486754
cg27331738,POU2AF1,-12.802730015414,4.57300781801768e-34,6.03916927387472e-31,-1.63119693322868
cg15114522,ERBB4,11.269393685401,2.59475973580285e-27,1.45630603303725e-24,1.62868002915769
cg02076355,CXCL9,17.0072074341373,4.58461971196306e-55,4.98731457050479e-51,1.58390409789081
cg18033671,MAPT,11.3303216885205,1.43492543879154e-27,8.34102693812835e-25,1.56003166600496
cg02887374,AFF3,7.62917460358526,7.21773323149096e-14,4.7324522665495e-12,1.5561488613439
cg18033671,MLPH,11.609828622101,9.21321309641067e-29,6.2545901872859e-26,1.52570771843803
cg19296662,KRT17,-7.07252868100822,3.50630972277089e-12,1.6373278184603e-10,-1.51950154081686
cg02887374,AR,8.33325733040814,3.76712517547603e-16,3.77815816852318e-14,1.51511578247286
cg18033671,CLSTN2,11.3481674846701,1.20585193678323e-27,7.07090375821212e-25,1.5150004745158
cg27331738,MS4A1,-10.2713178143344,3.07320374066156e-23,9.73460590540154e-21,-1.50737191952098
cg18033671,ANKRD30A,8.11381449032535,2.01786776200325e-15,1.776736620712e-13,1.49074163433622
cg18033671,SLC7A2,9.13813165453214,5.90121114533212e-19,9.54260294368902e-17,1.4900612845588
cg18033671,MSLN,-10.6810533475613,7.04747405069585e-25,2.82678753038273e-22,-1.48933565457865
cg03801691,COL11A1,-11.765031498469,1.96682560496834e-29,1.45883894670131e-26,-1.46927824013748
cg11335969,CCL19,-10.35421312842,1.44429205556436e-23,4.79717215809445e-21,-1.46512063402439
cg03801691,MMP13,-13.5098306167298,2.30436253369271e-37,4.47637254016572e-34,-1.46476141819274
cg18033671,DNAJC12,11.1915115024442,5.51506078172633e-27,2.96005667518053e-24,1.46004699277619
cg15114522,SFRP1,-8.18419829560442,1.18255525036418e-15,1.08560181857041e-13,-1.44387473931629
cg18033671,A2ML1,-11.6912306951921,4.10597851157338e-29,2.91288131915196e-26,-1.43221930781916
cg15114522,KRT5,-6.92356155380497,9.50675839515164e-12,4.04970693130419e-10,-1.42386466306313
cg18013550,ELF5,-8.69286266976419,2.22844600097901e-17,2.7608221522151e-15,-1.42352911380066
cg18033671,PTPRT,8.788117644444,1.03712726989999e-17,1.35851513482668e-15,1.41167967365243
cg02887374,NPNT,8.85510662035146,6.03285036879047e-18,8.21969884367023e-16,1.410604813462
cg15114522,PRR15,11.6685998650104,5.14238321488605e-29,3.60167222995523e-26,1.40481180616451
cg15114522,DACH1,9.87266107321051,1.08994530502935e-21,2.7250717775258e-19,1.38809983577735
cg15114522,FOXC1,-12.2523079185705,1.41164042568405e-31,1.37379702704458e-28,-1.37737942777121
cg18033671,FABP7,-9.08144665559014,9.4433357183153e-19,1.47374336018105e-16,-1.3766864697997
cg18033671,GREB1,11.0009574486611,3.43577487968635e-26,1.65733328879632e-23,1.374974638281
cg15114522,TBC1D9,11.803741289896,1.33524876454601e-29,1.01443121848506e-26,1.37490232112843
