"feature_type","feature","in_published","in_rediscovered"
"trans_gene","ACAP1",TRUE,TRUE
"trans_gene","ADAMDEC1",TRUE,FALSE
"trans_gene","AFF3",TRUE,TRUE
"trans_gene","AGR2",TRUE,FALSE
"trans_gene","ANXA9",TRUE,TRUE
"trans_gene","ASPN",TRUE,FALSE
"trans_gene","BCL11A",TRUE,FALSE
"trans_gene","C4A",TRUE,FALSE
"trans_gene","CA12",TRUE,TRUE
"trans_gene","CACNA2D2",TRUE,TRUE
"trans_gene","CCL19",TRUE,TRUE
"trans_gene","CCL5",TRUE,FALSE
"trans_gene","CCR7",TRUE,FALSE
"trans_gene","CD2",TRUE,TRUE
"trans_gene","CD247",TRUE,FALSE
"trans_gene","CD27",TRUE,FALSE
"trans_gene","CD38",TRUE,FALSE
"trans_gene","CD3D",TRUE,TRUE
"trans_gene","CD3E",TRUE,TRUE
"trans_gene","CD48",TRUE,FALSE
"trans_gene","CD5",TRUE,FALSE
"trans_gene","CD52",TRUE,FALSE
"trans_gene","CD79A",TRUE,TRUE
"trans_gene","CD79B",TRUE,FALSE
"trans_gene","CD8A",TRUE,FALSE
"trans_gene","CD96",TRUE,FALSE
"trans_gene","CLSTN2",TRUE,TRUE
"trans_gene","COL11A1",TRUE,TRUE
"trans_gene","COL9A3",TRUE,FALSE
"trans_gene","CORO1A",TRUE,FALSE
"trans_gene","CXCL13",TRUE,TRUE
"trans_gene","CXCL9",TRUE,TRUE
"trans_gene","DACH1",TRUE,TRUE
"trans_gene","DNAJC12",TRUE,TRUE
"trans_gene","DNALI1",TRUE,TRUE
"trans_gene","EGFR",TRUE,FALSE
"trans_gene","EMILIN1",TRUE,TRUE
"trans_gene","EN1",TRUE,FALSE
"trans_gene","ERBB4",TRUE,TRUE
"trans_gene","ESR1",TRUE,TRUE
"trans_gene","FBP1",TRUE,FALSE
"trans_gene","FOXA1",TRUE,TRUE
"trans_gene","FOXC1",TRUE,TRUE
"trans_gene","GABRP",TRUE,TRUE
"trans_gene","GATA3",TRUE,FALSE
"trans_gene","GFRA1",TRUE,FALSE
"trans_gene","GREB1",TRUE,TRUE
"trans_gene","GZMA",TRUE,TRUE
"trans_gene","GZMB",TRUE,FALSE
"trans_gene","GZMK",TRUE,TRUE
"trans_gene","HLA-DQA1",TRUE,FALSE
"trans_gene","IDO1",TRUE,TRUE
"trans_gene","IGF2BP2",TRUE,FALSE
"trans_gene","IL2RB",TRUE,FALSE
"trans_gene","IL2RG",TRUE,TRUE
"trans_gene","IRF4",TRUE,FALSE
"trans_gene","ITK",TRUE,TRUE
"trans_gene","KIAA1324",TRUE,FALSE
"trans_gene","KRT16",TRUE,TRUE
"trans_gene","LAMP3",TRUE,FALSE
"trans_gene","LCK",TRUE,TRUE
"trans_gene","LRRC15",TRUE,FALSE
"trans_gene","LTB",TRUE,TRUE
"trans_gene","LYZ",TRUE,TRUE
"trans_gene","MAPT",TRUE,TRUE
"trans_gene","MARCO",TRUE,FALSE
"trans_gene","MLPH",TRUE,TRUE
"trans_gene","MMP13",TRUE,TRUE
"trans_gene","MS4A1",TRUE,TRUE
"trans_gene","MSLN",TRUE,TRUE
"trans_gene","MYB",TRUE,TRUE
"trans_gene","NAT1",TRUE,TRUE
"trans_gene","NKG7",TRUE,FALSE
"trans_gene","PGR",TRUE,TRUE
"trans_gene","PLA2G2D",TRUE,FALSE
"trans_gene","POU2AF1",TRUE,TRUE
"trans_gene","PRF1",TRUE,FALSE
"trans_gene","PRKCB",TRUE,FALSE
"trans_gene","PRLR",TRUE,FALSE
"trans_gene","PSAT1",TRUE,TRUE
